"lakename","lakeid","year4","daynum","sampledate","division","genus","species","description","concentration","gal_dimension","mean_individ_vol","mean_individ_biovol","total_vol","total_biovol" 
"East Long Lake","E",1991,240,1991-08-28,"Pyrrhophyta","Peridinium","umbonatum",NA,61.192,15,1580,1580,0.097,0.097
"East Long Lake","E",1991,240,1991-08-28,"Pyrrhophyta","Peridinium","wisconsinense",NA,5.563,45,28296,28296,0.157,0.157
"East Long Lake","E",1991,240,1991-08-28,"Chlorophyta","Selenastrum","minutum",NA,3.675,7.5,27,27,0,0
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Botryococcus","braunii",NA,0.695,40,6154.401,6154.401,0.004,0.004
"West Long Lake","W",1991,241,1991-08-29,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",10.43,14,266.832,266.832,0.003,0.003
"West Long Lake","W",1991,241,1991-08-29,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",60.497,18.3,518.744,518.744,0.031,0.031
"West Long Lake","W",1991,241,1991-08-29,"Cryptophyta","Cryptomonas","ovata",NA,3.477,25,1322.573,1322.573,0.005,0.005
"West Long Lake","W",1991,241,1991-08-29,"Pyrrhophyta","Gymnodinium",NA,NA,0.695,25,2905.556,2905.556,0.002,0.002
"West Long Lake","W",1991,241,1991-08-29,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",2.086,7.5,78.45,78.45,0,0
"West Long Lake","W",1991,241,1991-08-29,"Chrysophyta","Kephyrion",NA,"sp. 6",11.024,5,65.375,65.375,0.001,0.001
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Lobomonas",NA,NA,3.675,6,112.968,112.968,0,0
"West Long Lake","W",1991,241,1991-08-29,"Chrysophyta","Mallomonas",NA,"sp. 3",0.695,37.5,2222,2222,0.002,0.002
"West Long Lake","W",1991,241,1991-08-29,"Cyanophyta","Merismopedia","tenuissima",NA,27.815,47.2,3809.04,229.392,0.106,0.006
"West Long Lake","W",1991,241,1991-08-29,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",701.837,2.75,10.889,10.889,0.008,0.008
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Monomastix","astigmata",NA,349.081,6,21.004,21.004,0.007,0.007
"West Long Lake","W",1991,241,1991-08-29,"Cyanophyta",NA,NA,"non-motile blue-greens",14.698,2.5,8.181,8.181,0,0
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta",NA,NA,"non-motile chorococcales",11.024,4.6,50.965,50.965,0.001,0.001
"West Long Lake","W",1991,241,1991-08-29,"Chrysophyta","Ochromonas",NA,NA,11.024,3.3,18.817,18.817,0,0
"West Long Lake","W",1991,241,1991-08-29,"Cyanophyta","Oscillatoria","limnetica",NA,1.391,45,537.3,537.3,0.001,0.001
"West Long Lake","W",1991,241,1991-08-29,"Pyrrhophyta","Peridinium","umbonatum",NA,4.868,15,1580,1580,0.008,0.008
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Schroederia","judayi",NA,0.695,35,448.942,448.942,0,0
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Selenastrum","minutum",NA,7.349,5,27,27,0,0
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Sphaerocystis","schroeteri",NA,3.477,53.5,80087.19,2838.36,0.278,0.01
"West Long Lake","W",1991,241,1991-08-29,"Chlorophyta","Tetracystis",NA,NA,4.172,35.8,23996.6,5753,0.1,0.024
"Paul Lake","L",1991,245,1991-09-02,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",7.417,14,266.832,266.832,0.002,0.002
"Paul Lake","L",1991,245,1991-09-02,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",9.272,20,677.157,677.157,0.006,0.006
"Paul Lake","L",1991,245,1991-09-02,"Cryptophyta","Cryptomonas","caudata",NA,14.698,10,515.921,515.921,0.008,0.008
"Paul Lake","L",1991,245,1991-09-02,"Chrysophyta","Dinobryon","bavaricum",NA,1.854,200,7752,644,0.014,0.001
"Paul Lake","L",1991,245,1991-09-02,"Chrysophyta","Dinobryon","divergens",NA,1.854,190,16679,2678,0.031,0.005
"Paul Lake","L",1991,245,1991-09-02,"Chlorophyta","Elakatothrix","gelatinosa",NA,1.854,25,215.748,96.8,0,0
"Paul Lake","L",1991,245,1991-09-02,"Cyanophyta","Gomphosphaeria",NA,NA,1.854,15,1765.125,210.28,0.003,0
"Paul Lake","L",1991,245,1991-09-02,"Cyanophyta","Merismopedia","tenuissima",NA,11.126,12.5,468.75,56.64,0.005,0.001
"Paul Lake","L",1991,245,1991-09-02,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",488.714,3.2,17.157,17.157,0.008,0.008
"Paul Lake","L",1991,245,1991-09-02,"Chlorophyta","Monomastix","astigmata",NA,135.958,6,21.004,21.004,0.003,0.003
"Paul Lake","L",1991,245,1991-09-02,"Cyanophyta",NA,NA,"non-motile blue-greens",18.373,3,14.137,14.137,0,0
"Paul Lake","L",1991,245,1991-09-02,"Chlorophyta",NA,NA,"non-motile chorococcales",22.047,2.5,8.181,8.181,0,0
"Paul Lake","L",1991,245,1991-09-02,"Chrysophyta","Ochromonas",NA,NA,29.396,3.75,27.612,27.612,0.001,0.001
"Paul Lake","L",1991,245,1991-09-02,"Chlorophyta","Oocystis",NA,"sp. 1",3.709,12.5,311.799,163.4,0.001,0.001
"Paul Lake","L",1991,245,1991-09-02,"Cyanophyta","Oscillatoria","limnetica",NA,1.854,75,895.5,895.5,0.002,0.002
"Paul Lake","L",1991,245,1991-09-02,"Chlorophyta","Quadrigula","chodatti",NA,1.854,37.5,4308,4308,0.008,0.008
"Paul Lake","L",1991,245,1991-09-02,"Chrysophyta","Synura","uvella/sphagnicola","(colonial)",203.974,41.1,2254,2254,0.46,0.46
"Paul Lake","L",1991,245,1991-09-02,"Chrysophyta","Synura","uvella/sphagnicola",NA,489.537,12.5,230,230,0.113,0.113
"Paul Lake","L",1991,245,1991-09-02,"Chlorophyta","Tetracystis",NA,NA,22.252,23,3638.554,3638.554,0.081,0.081
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta","Ankistrodesmus","falcatus","v.mirabilis",1.854,100,490.625,490.625,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",1.236,56.2,1524.9,1524.9,0.002,0.002
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta",NA,NA,"colonial chlorophyta",2.472,33.1,18966.43,313.92,0.047,0.001
"Peter Lake","R",1991,246,1991-09-03,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",11.126,14,266.832,266.832,0.003,0.003
"Peter Lake","R",1991,246,1991-09-03,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",4.327,17.5,453.643,453.643,0.002,0.002
"Peter Lake","R",1991,246,1991-09-03,"Cryptophyta","Cryptomonas","ovata",NA,0.618,25,1322.573,1322.573,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta","Dictyosphaerium","pulchellum",NA,0.618,50,65375,895,0.04,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Dinobryon","bavaricum",NA,3.675,10,200,200,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Dinobryon","bavaricum",NA,21.015,153.8,8139.6,676.2,0.171,0.014
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Dinobryon","bavaricum",NA,11.744,66.9,1938,161,0.023,0.002
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Dinobryon","divergens",NA,0.618,105,11660,2200,0.007,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta","Elakatothrix","gelatinosa",NA,4.327,24.3,198.128,82.28,0.001,0
"Peter Lake","R",1991,246,1991-09-03,"Pyrrhophyta","Gymnodinium",NA,NA,0.618,25,2905.556,2905.556,0.002,0.002
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Kephyrion",NA,"sp. 1",22.047,5,65.375,65.375,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Kephyrion",NA,"sp. 6",99.213,5,65.375,65.375,0.006,0.006
"Peter Lake","R",1991,246,1991-09-03,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",407.874,2.75,10.889,10.889,0.004,0.004
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta","Monomastix","astigmata",NA,3.675,6,21.004,21.004,0,0
"Peter Lake","R",1991,246,1991-09-03,"Bacillariophyta","Nitzschia","acicularis",NA,0.618,50,245.313,245.313,0,0
"Peter Lake","R",1991,246,1991-09-03,"Bacillariophyta","Nitzschia","gracilis",NA,0.618,75,367.969,367.969,0,0
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta",NA,NA,"non-motile chorococcales",88.189,4,33.51,33.51,0.003,0.003
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Ochromonas",NA,NA,18.373,4,33.51,33.51,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Ochromonas",NA,NA,18.373,5,65.45,65.45,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Cyanophyta","Oscillatoria",NA,"sp. 2",0.618,75,1471.875,1471.875,0.001,0.001
"Peter Lake","R",1991,246,1991-09-03,"Pyrrhophyta","Peridinium","umbonatum",NA,64.901,15,1580,1580,0.103,0.103
"Peter Lake","R",1991,246,1991-09-03,"Pyrrhophyta","Peridinium","wisconsinense",NA,1.854,50,41648.2,41648.2,0.077,0.077
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta","Scenedesmus",NA,NA,0.618,27.5,294.375,294.375,0,0
"Peter Lake","R",1991,246,1991-09-03,"Chlorophyta","Staurastrum","natator",NA,0.618,75,18264,18264,0.011,0.011
"Peter Lake","R",1991,246,1991-09-03,"Chrysophyta","Synura","uvella/sphagnicola","(colonial)",2.472,53.8,4186,4186,0.01,0.01
"East Long Lake","E",1991,247,1991-09-04,"Chlorophyta","Ankistrodesmus","falcatus","v.mirabilis",5.099,100,490.625,490.625,0.003,0.003
"East Long Lake","E",1991,247,1991-09-04,"Chlorophyta","Arthrodesmus","subulatus",NA,0.464,62.5,18264,18264,0.008,0.008
"East Long Lake","E",1991,247,1991-09-04,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",2.781,66.7,681.72,681.72,0.002,0.002
"East Long Lake","E",1991,247,1991-09-04,"Chrysophyta","Chrysosphaerella",NA,NA,0.464,37.5,179.4,179.4,0,0
"East Long Lake","E",1991,247,1991-09-04,"Chrysophyta","Chrysosphaerella",NA,NA,3.675,5,179.4,179.4,0.001,0.001
"East Long Lake","E",1991,247,1991-09-04,"Bacillariophyta","Cocconeis",NA,NA,0.464,15,124.344,124.344,0,0
"East Long Lake","E",1991,247,1991-09-04,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",2.781,14,266.832,266.832,0.001,0.001
"East Long Lake","E",1991,247,1991-09-04,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",16.225,17.5,453.643,453.643,0.007,0.007
"East Long Lake","E",1991,247,1991-09-04,"Cryptophyta","Cryptomonas","ovata",NA,4.636,25,1322.573,1322.573,0.006,0.006
"East Long Lake","E",1991,247,1991-09-04,"Miscellaneous",NA,NA,"Cysts",18.373,6.8,164.448,164.448,0.003,0.003
"East Long Lake","E",1991,247,1991-09-04,"Chrysophyta","Dinobryon",NA,"sp. 6",1.391,25,641,89.6,0.001,0
"East Long Lake","E",1991,247,1991-09-04,"Pyrrhophyta","Gymnodinium",NA,NA,0.927,25,2905.556,2905.556,0.003,0.003
"East Long Lake","E",1991,247,1991-09-04,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",11.024,7.5,78.45,78.45,0.001,0.001
"East Long Lake","E",1991,247,1991-09-04,"Chrysophyta","Kephyrion",NA,"sp. 1",73.491,5,65.375,65.375,0.005,0.005
"East Long Lake","E",1991,247,1991-09-04,"Chlorophyta","Lobomonas",NA,NA,3.675,7,179.389,179.389,0.001,0.001
"East Long Lake","E",1991,247,1991-09-04,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",881.89,3,14.137,14.137,0.012,0.012
"East Long Lake","E",1991,247,1991-09-04,"Chlorophyta","Monomastix","astigmata",NA,14.698,6,21.004,21.004,0,0
"East Long Lake","E",1991,247,1991-09-04,"Cyanophyta",NA,NA,"non-motile blue-greens",73.491,2.5,8.181,8.181,0.001,0.001
"East Long Lake","E",1991,247,1991-09-04,"Chlorophyta",NA,NA,"non-motile chorococcales",18.373,2.5,8.181,8.181,0,0
"East Long Lake","E",1991,247,1991-09-04,"Cyanophyta","Oscillatoria","limnetica",NA,0.464,50,597,597,0,0
"East Long Lake","E",1991,247,1991-09-04,"Pyrrhophyta","Peridinium","umbonatum",NA,40.331,15,1580,1580,0.064,0.064
"East Long Lake","E",1991,247,1991-09-04,"Pyrrhophyta","Peridinium","wisconsinense",NA,1.391,40,19257,19257,0.027,0.027
"West Long Lake","W",1991,248,1991-09-05,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",21.325,14,266.832,266.832,0.006,0.006
"West Long Lake","W",1991,248,1991-09-05,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",44.503,18.3,518.744,518.744,0.023,0.023
"West Long Lake","W",1991,248,1991-09-05,"Cryptophyta","Cryptomonas","ovata",NA,14.834,25,1322.573,1322.573,0.02,0.02
"West Long Lake","W",1991,248,1991-09-05,"Chlorophyta","Elakatothrix","gelatinosa",NA,0.927,12.5,26.969,48.4,0,0
"West Long Lake","W",1991,248,1991-09-05,"Cyanophyta","Gomphosphaeria","aponina",NA,0.927,60,112968,6272,0.105,0.006
"West Long Lake","W",1991,248,1991-09-05,"Miscellaneous","Gonyostomum",NA,NA,0.927,40,4267.68,4267.68,0.004,0.004
"West Long Lake","W",1991,248,1991-09-05,"Pyrrhophyta","Gymnodinium",NA,NA,0.927,20,1487.644,1487.644,0.001,0.001
"West Long Lake","W",1991,248,1991-09-05,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",0.927,15,627.6,627.6,0.001,0.001
"West Long Lake","W",1991,248,1991-09-05,"Chrysophyta","Kephyrion",NA,"sp. 1",11.024,5,65.375,65.375,0.001,0.001
"West Long Lake","W",1991,248,1991-09-05,"Chrysophyta","Mallomonas",NA,"sp. 3",7.417,25,2222,2222,0.016,0.016
"West Long Lake","W",1991,248,1991-09-05,"Cyanophyta","Merismopedia","tenuissima",NA,65.828,34.5,2525.4,249.216,0.166,0.016
"West Long Lake","W",1991,248,1991-09-05,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",672.441,3,14.137,14.137,0.01,0.01
"West Long Lake","W",1991,248,1991-09-05,"Chlorophyta","Monomastix","astigmata",NA,246.194,6,21.004,21.004,0.005,0.005
"West Long Lake","W",1991,248,1991-09-05,"Cyanophyta",NA,NA,"non-motile blue-greens",3.675,3.75,27.612,27.612,0,0
"West Long Lake","W",1991,248,1991-09-05,"Chlorophyta",NA,NA,"non-motile chorococcales",25.722,3.5,22.449,22.449,0.001,0.001
"West Long Lake","W",1991,248,1991-09-05,"Cyanophyta","Nostoc",NA,"single trichomes",1.854,58.8,4116,4116,0.008,0.008
"West Long Lake","W",1991,248,1991-09-05,"Chrysophyta","Ochromonas",NA,NA,14.698,4.4,44.602,44.602,0.001,0.001
"West Long Lake","W",1991,248,1991-09-05,"Chlorophyta","Tetracystis",NA,NA,1.854,32.5,8604.901,8604.901,0.016,0.016
"East Long Lake","E",1992,139,1992-05-18,"Chlorophyta","Ankistrodesmus","falcatus","v.mirabilis",3.278,176,863.5,863.5,0.003,0.003
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Chloroocloster",NA,NA,3.278,13.2,31.1,31.1,0,0
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Chrysosphaerella",NA,NA,52.087,4.4,179.4,179.4,0.009,0.009
"East Long Lake","E",1992,139,1992-05-18,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",75.396,12.1,172.27,172.27,0.013,0.013
"East Long Lake","E",1992,139,1992-05-18,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",22.947,17.6,461.464,461.464,0.011,0.011
"East Long Lake","E",1992,139,1992-05-18,"Cryptophyta","Cryptomonas","ovata",NA,32.781,25.8,1453.646,1453.646,0.048,0.048
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Dinobryon","bavaricum",NA,3.278,57.2,1938,161,0.006,0.001
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Dinobryon",NA,"sp. 6",3.278,26.4,641,89.6,0.002,0
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta",NA,NA,"Dinoflagellate cyst",3.278,30.8,15281.07,15281.07,0.05,0.05
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta","Glenodinium","quadridens",NA,39.337,27.3,8406.529,8406.529,0.331,0.331
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta","Glenodinium","quadridens",NA,39.337,27.3,8406.529,8406.529,0.331,0.331
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta","Gymnodinium",NA,NA,9.834,27.1,3700.983,3700.983,0.036,0.036
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",3.278,11,247.507,247.507,0.001,0.001
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",156.261,6.6,53.461,53.461,0.008,0.008
"East Long Lake","E",1992,139,1992-05-18,"Chlorophyta","Lobomonas",NA,NA,52.087,4.4,44.551,44.551,0.002,0.002
"East Long Lake","E",1992,139,1992-05-18,"Cyanophyta","Lyngbya",NA,NA,3.278,88,334.347,334.347,0.001,0.001
"East Long Lake","E",1992,139,1992-05-18,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",3281.471,2.2,5.575,5.575,0.018,0.018
"East Long Lake","E",1992,139,1992-05-18,"Cyanophyta",NA,NA,"non-motile blue-greens",104.174,2.2,5.575,5.575,0.001,0.001
"East Long Lake","E",1992,139,1992-05-18,"Chlorophyta",NA,NA,"non-motile chorococcales",52.087,2.2,5.575,5.575,0,0
"East Long Lake","E",1992,139,1992-05-18,"Chlorophyta",NA,NA,"non-motile chorococcales (spher, >10 um)",3.278,13.2,1204.261,1204.261,0.004,0.004
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Ochromonas",NA,NA,156.261,4.4,44.602,44.602,0.007,0.007
"East Long Lake","E",1992,139,1992-05-18,"Chlorophyta","Oocystis",NA,"sp. 1",3.278,22,1699.858,163,0.006,0.001
"East Long Lake","E",1992,139,1992-05-18,"Pyrrhophyta","Peridinium","umbonatum",NA,36.059,15.4,1580,1580,0.057,0.057
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Synura","uvella/sphagnicola",NA,6.556,13.2,230,230,0.002,0.002
"East Long Lake","E",1992,139,1992-05-18,"Chlorophyta","Tetraedron","minimum",NA,6.556,9.9,200,200,0.001,0.001
"East Long Lake","E",1992,139,1992-05-18,"Chrysophyta","Uroglena",NA,"single",833.39,4.4,65.4,65.4,0.055,0.055
"West Long Lake","W",1992,140,1992-05-19,"Chlorophyta","Ankistrodesmus","falcatus","v.mirabilis",2.185,88,431.75,431.75,0.001,0.001
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",2.185,44,717.6,717.6,0.002,0.002
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Chrysosphaerella",NA,NA,43.708,4.4,179.4,179.4,0.008,0.008
"West Long Lake","W",1992,140,1992-05-19,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",10.927,11,129.429,129.429,0.001,0.001
"West Long Lake","W",1992,140,1992-05-19,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",48.078,16.9,408.564,408.564,0.02,0.02
"West Long Lake","W",1992,140,1992-05-19,"Cryptophyta","Cryptomonas","ovata",NA,28.41,24.2,1199.626,1199.626,0.034,0.034
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Diceras",NA,NA,2.185,88,153,153,0,0
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Dinobryon","bavaricum",NA,2.185,147.4,5814,483,0.013,0.001
"West Long Lake","W",1992,140,1992-05-19,"Pyrrhophyta","Glenodinium","quadridens",NA,2.185,33,14848.09,14848.09,0.032,0.032
"West Long Lake","W",1992,140,1992-05-19,"Pyrrhophyta","Gymnodinium",NA,NA,91.786,26.4,3421.535,3421.535,0.314,0.314
"West Long Lake","W",1992,140,1992-05-19,"Pyrrhophyta","Gymnodinium",NA,"sp. 2",2.185,13.2,427.692,427.692,0.001,0.001
"West Long Lake","W",1992,140,1992-05-19,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",208.347,6.6,53.461,53.461,0.011,0.011
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Kephyrion",NA,"sp. 1",52.087,6.6,150.36,150.36,0.008,0.008
"West Long Lake","W",1992,140,1992-05-19,"Chlorophyta","Lobomonas",NA,NA,104.174,6.6,150.36,150.36,0.016,0.016
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Mallomonaas","caudata",NA,8.742,55,11506,11506,0.101,0.101
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Mallomonas",NA,"sp. 3",10.927,33,6903.6,6903.6,0.075,0.075
"West Long Lake","W",1992,140,1992-05-19,"Cyanophyta","Merismopedia","tenuissima",NA,2.185,13.2,522.72,56.64,0.001,0
"West Long Lake","W",1992,140,1992-05-19,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",3802.34,2.2,5.575,5.575,0.021,0.021
"West Long Lake","W",1992,140,1992-05-19,"Chlorophyta","Monomastix","astigmata",NA,104.174,3.3,3.495,3.495,0,0
"West Long Lake","W",1992,140,1992-05-19,"Cyanophyta",NA,NA,"non-motile blue-greens",52.087,2.2,5.575,5.575,0,0
"West Long Lake","W",1992,140,1992-05-19,"Chlorophyta",NA,NA,"non-motile chorococcales",312.521,3.3,18.817,18.817,0.006,0.006
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Ochromonas",NA,NA,677.129,3.3,18.817,18.817,0.013,0.013
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Ochromonas",NA,NA,260.434,6.6,150.533,150.533,0.039,0.039
"West Long Lake","W",1992,140,1992-05-19,"Pyrrhophyta","Peridinium","umbonatum",NA,8.742,13.2,1580,1580,0.014,0.014
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Synura","uvella/sphagnicola","(colonial)",13.112,46.8,3289,3289,0.043,0.043
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Synura","uvella/sphagnicola",NA,458.93,12.5,230,230,0.106,0.106
"West Long Lake","W",1992,140,1992-05-19,"Chrysophyta","Uroglena",NA,"single",208.347,4.4,65.4,65.4,0.014,0.014
"Peter Lake","R",1992,141,1992-05-20,"Cyanophyta","Anabaena","affinis",NA,3.642,77,2298.6,2298.6,0.008,0.008
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta","Ankistrodesmus","falcatus","v.mirabilis",7.285,99,485.719,485.719,0.004,0.004
"Peter Lake","R",1992,141,1992-05-20,"Cyanophyta","Aphanocapsa","elachista",NA,3.642,22,4602.4,188.2,0.017,0.001
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta","Characium","limneticum",NA,3.642,27.5,352.74,352.74,0.001,0.001
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta",NA,NA,"chlorophyte cyst",3.642,8.8,356.41,356.41,0.001,0.001
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",3.642,44,538.2,538.2,0.002,0.002
"Peter Lake","R",1992,141,1992-05-20,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",14.569,11,129.429,129.429,0.002,0.002
"Peter Lake","R",1992,141,1992-05-20,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",36.423,17.6,461.464,461.464,0.017,0.017
"Peter Lake","R",1992,141,1992-05-20,"Cryptophyta","Cryptomonas","ovata",NA,40.065,24.2,1199.626,1199.626,0.048,0.048
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Dinobryon","bavaricum",NA,10.927,293.3,41279.4,3429.3,0.451,0.037
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Dinobryon","divergens",NA,21.854,150.7,41658,7860,0.91,0.172
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Dinobryon",NA,"sp. 4",18.212,26.4,641,89.6,0.012,0.002
"Peter Lake","R",1992,141,1992-05-20,"Pyrrhophyta",NA,NA,"Dinoflagellate cyst",14.569,22.6,6037.082,6037.082,0.088,0.088
"Peter Lake","R",1992,141,1992-05-20,"Pyrrhophyta","Gymnodinium",NA,NA,10.927,24.2,2635.453,2635.453,0.029,0.029
"Peter Lake","R",1992,141,1992-05-20,"Pyrrhophyta","Gymnodinium",NA,"sp. 3",240.392,6.6,53.461,53.461,0.013,0.013
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Kephyrion",NA,"sp. 1",260.434,6.6,150.36,150.36,0.039,0.039
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Mallomonaas","caudata",NA,3.642,66,13807.2,13807.2,0.05,0.05
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Mallomonas",NA,"sp. 3",25.496,33,3883.275,3883.275,0.099,0.099
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta",NA,NA,"Misc. chlorophyte",3.642,22,5569,5569,0.02,0.02
"Peter Lake","R",1992,141,1992-05-20,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",5677.466,2.2,5.575,5.575,0.032,0.032
"Peter Lake","R",1992,141,1992-05-20,"Bacillariophyta","Nitzschia","acicularis",NA,3.642,61.6,302.225,302.225,0.001,0.001
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta",NA,NA,"non-motile chorococcales",104.174,2.2,5.575,5.575,0.001,0.001
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta",NA,NA,"non-motile chorococcales (spher, >10 um)",3.642,11,696.91,696.91,0.003,0.003
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Ochromonas",NA,NA,364.608,4.4,44.602,44.602,0.016,0.016
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Ochromonas",NA,NA,520.868,3.3,18.817,18.817,0.01,0.01
"Peter Lake","R",1992,141,1992-05-20,"Cyanophyta","Oscillatoria","limnetica",NA,10.927,88,1050.72,1050.72,0.011,0.011
"Peter Lake","R",1992,141,1992-05-20,"Pyrrhophyta","Peridinium","cinctum",NA,3.642,30.8,8436.282,8436.282,0.031,0.031
"Peter Lake","R",1992,141,1992-05-20,"Pyrrhophyta","Peridinium","umbonatum",NA,356.946,15.4,1580,1580,0.564,0.564
"Peter Lake","R",1992,141,1992-05-20,"Chlorophyta","Ulothrix",NA,NA,32.781,29.3,111.322,111.322,0.004,0.004
"Peter Lake","R",1992,141,1992-05-20,"Chrysophyta","Uroglena",NA,"colonial",3.642,44,261.6,261.6,0.001,0.001
"Paul Lake","L",1992,142,1992-05-21,"Chlorophyta","Ankistrodesmus","falcatus","v.mirabilis",2.185,66,323.813,323.813,0.001,0.001
"Paul Lake","L",1992,142,1992-05-21,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",61.191,13.2,223.654,223.654,0.014,0.014
"Paul Lake","L",1992,142,1992-05-21,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",24.039,16.94,411.472,411.472,0.01,0.01
